link,account,brand,business_unit,date_post,talent_type,is_our_brand,views,engagements,channels,creator type,Visuals__Total Video Duration (Seconds),Visuals__Visual Aesthetic/Style,Visuals__Primary Color Palette,Visuals__Lighting Style,Talent__Main Talent Type,Talent__Number of Key Talent,Talent__Apparent Demographics (Primary),Messaging__Core Message/Overall Takeaway,Messaging__Message Originality/Uniqueness,Messaging__Primary Emotional Appeal,Messaging__Key Product/Service Benefit Highlighted,Messaging__Call to Action (CTA) Type,Meaningful & Different__Social or Cultural Impact Potential,Meaningful & Different__Emotional Depth,Meaningful & Different__Authenticity & Relatability,Hook__Analyzed Duration (Seconds),Hook__Primary Message/Question,Hook__Visual Strategy,Hook__Audio Strategy,Hook__On-Screen Text Presence,Hook__Emotional Tone Evoked,Hook__Pacing/Editing (First 3-5s),Hook__Uniqueness & Effectiveness (Overall)
https://tiktok.com/v236,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-01-06,Mikro,True,557293,15867,instagram,other say,20,Minimalist,Muted Vintage,Theatrical spotlights,Influencer/KOL,3,Gen Z explorer,Experience the power of unbeatable price with our latest innovation.,Standard/Expected,Joy,Unbeatable price,Visit store,High - likely to provoke discussion/change - Promotes inclusivity,Moderate & Engaging,Highly Authentic/Raw,4,Introduces a relatable problem,Text-heavy Introduction,Intriguing Sound Effects,No,Calmness,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v237,pond's_official,Pond's,Beauty and Wellbeing,2024-01-25,Nano,True,2987722,89973,instagram,other say,53,Retro-futuristic,Muted Vintage,Bright/Overhead,None,0,N/A,Experience the power of time-saving convenience with our latest innovation.,Standard/Expected,Fear of Missing Out,Time-saving convenience,Follow social media,High - likely to provoke discussion/change - Focuses on sustainability,Purely Functional/None,Perceived as Real,5,Poses a direct question,Intriguing/Abstract Visual,Sudden Silence followed by sound,Yes - 'Wait...',Calmness,Static Shot,Effective but Standard
https://tiktok.com/v238,super_pell_official,Super Pell,Home Care,2024-07-09,Mega,True,496707,9637,instagram,brand say,51,Retro-futuristic,High contrast,High-key,Real Customer/User,3,Diverse family unit,Experience the power of healthier lifestyle with our latest innovation.,Highly Original/Unexpected,Excitement,Healthier lifestyle,Sign up,None,Moderate & Engaging,Highly Authentic/Raw,5,Presents an intriguing visual,Direct Product Close-up,Sudden Silence followed by sound,No,Surprise,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v239,rinso_official,Rinso,Home Care,2024-04-04,Mega,True,220700,4069,instagram,other say,28,Documentary-style,Monochromatic,Natural daylight,Employee,1,Corporate professional,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Aspiration,Eco-friendly production,Visit store,None,Purely Functional/None,Fictional/Fantastical,5,Poses a direct question,Direct Product Close-up,Whispered confession,Yes - 'Wait...',Surprise,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v240,wipol_official,Wipol,Home Care,2024-05-04,Mikro,True,866621,37484,instagram,brand say,57,Avant-garde,Pastels,Dramatic/High contrast,Narrator Only (unseen),0,N/A,Experience the power of unbeatable price with our latest innovation.,Clichéd/Uninspired,Fear of Missing Out,Unbeatable price,Learn more,High - likely to provoke discussion/change - Promotes inclusivity,Surface-level/Fleeting,Deliberately Stylized Realism,4,Poses a direct question,Intriguing/Abstract Visual,Upbeat Jingle,No,Calmness,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v241,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-04-27,Nano,True,180471,5159,instagram,brand say,44,Documentary-style,Muted Vintage,Soft/Diffused,Employee,2,Middle-aged professional male,Experience the power of time-saving convenience with our latest innovation.,Fresh Take on Familiar,Joy,Time-saving convenience,None,None,Purely Functional/None,Clearly Staged/Aspirational,3,Introduces a relatable problem,Shocking/Unexpected Event,Whispered confession,No,Calmness,Gradual Reveal,Confusing/Ineffective
https://tiktok.com/v242,super_pell_official,Super Pell,Home Care,2024-04-24,Mikro,True,391747,5129,instagram,other say,18,Abstract,"Warm tones (reds, oranges)",Theatrical spotlights,Animal,3,N/A,Experience the power of premium quality with our latest innovation.,Highly Original/Unexpected,Nostalgia,Premium quality,Learn more,Low - incidental - Challenges gender norms,Surface-level/Fleeting,Fictional/Fantastical,3,Presents an intriguing visual,Problem Setup Scene,Whispered confession,No,Curiosity,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v243,mama_lemon_official,Mama Lemon,Home Care,2024-02-24,Makro,False,257768,7456,instagram,brand say,42,Cinematic,"Warm tones (reds, oranges)",Dramatic/High contrast,Real Customer/User,3,Middle-aged professional male,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Humor,Time-saving convenience,Learn more,None,Surface-level/Fleeting,Highly Authentic/Raw,5,Poses a direct question,Intriguing/Abstract Visual,Direct Voiceover Question,No,Calmness,Fast-paced/Rapid Cuts,Effective but Standard
https://tiktok.com/v244,lux_official,Lux,Beauty and Wellbeing,2024-02-22,Mikro,True,98899,3986,instagram,brand say,24,Gritty,Muted Vintage,Expressive shadows,Professional Actor,1,Young adult female,Experience the power of eco-friendly production with our latest innovation.,Fresh Take on Familiar,Empathy,Eco-friendly production,Sign up,High - likely to provoke discussion/change - Challenges gender norms,Profound & Evocative,Highly Authentic/Raw,5,Poses a direct question,Facial Close-up of Talent,Sudden Silence followed by sound,Yes - 'Stop!',Curiosity,Static Shot,Confusing/Ineffective
https://tiktok.com/v245,rinso_official,Rinso,Home Care,2024-01-18,Makro,True,1081860,38147,instagram,brand say,19,Surreal,Pastels,Natural daylight,Influencer/KOL,5+,Gen Z explorer,Experience the power of time-saving convenience with our latest innovation.,Fresh Take on Familiar,Empathy,Time-saving convenience,Follow social media,Moderate - raises awareness - Promotes inclusivity,Profound & Evocative,Highly Authentic/Raw,3,Displays a startling fact,Shocking/Unexpected Event,Dialogue snippet,Yes - 'Stop!',Urgency,Static Shot,Somewhat Effective/Predictable
https://tiktok.com/v246,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-01-12,Mega,True,240661,3931,instagram,other say,16,Retro-futuristic,Muted Vintage,Expressive shadows,None,0,N/A,Experience the power of unbeatable price with our latest innovation.,Standard/Expected,Aspiration,Unbeatable price,General brand awareness,None,Moderate & Engaging,Perceived as Real,3,Poses a direct question,Intriguing/Abstract Visual,Intriguing Sound Effects,No,Curiosity,Static Shot,Confusing/Ineffective
https://tiktok.com/v247,scarlett_official,Scarlett,Beauty and Wellbeing,2024-07-10,Makro,False,1222663,24304,instagram,other say,33,Abstract,Monochromatic,Low-key,Mixed,1,Children,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Empathy,Eco-friendly production,Learn more,None,Moderate & Engaging,Fictional/Fantastical,3,Poses a direct question,Shocking/Unexpected Event,Dialogue snippet,Yes - 'Limited Offer',Anticipation,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v248,vanish_official,Vanish,Home Care,2024-04-14,Nano,False,275952,12053,instagram,other say,41,Futuristic,Bright and saturated,Colored gels,Influencer/KOL,5+,Middle-aged professional male,Experience the power of enhanced connectivity with our latest innovation.,Fresh Take on Familiar,Aspiration,Enhanced connectivity,Visit store,High - likely to provoke discussion/change - Focuses on sustainability,Moderate & Engaging,Fictional/Fantastical,5,Presents an intriguing visual,Problem Setup Scene,Upbeat Jingle,Yes - 'The Secret',Confusion,Gradual Reveal,Effective but Standard
https://tiktok.com/v249,mama_lemon_official,Mama Lemon,Home Care,2024-07-12,Mikro,False,148567,3357,instagram,brand say,23,Surreal,Pastels,High-key,Animal,5+,N/A,Experience the power of enhanced connectivity with our latest innovation.,Clichéd/Uninspired,Fear of Missing Out,Enhanced connectivity,Visit store,High - likely to provoke discussion/change - Focuses on sustainability,Moderate & Engaging,Clearly Staged/Aspirational,3,Presents an intriguing visual,Shocking/Unexpected Event,Abrupt Music Start,No,Curiosity,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v250,mama_lemon_official,Mama Lemon,Home Care,2024-04-16,Nano,False,680080,32055,instagram,other say,45,Abstract,Pastels,Soft/Diffused,None,0,N/A,Experience the power of instant results with our latest innovation.,Standard/Expected,Empowerment,Instant results,None,Moderate - raises awareness - Focuses on sustainability,Moderate & Engaging,Highly Authentic/Raw,3,Showcases a desired outcome,Direct Product Close-up,Whispered confession,No,Urgency,Static Shot,Confusing/Ineffective
https://tiktok.com/v251,sunlight_official,Sunlight,Home Care,2024-03-21,Nano,True,6067383,83694,instagram,brand say,21,Abstract,"Cool tones (blues, greens)",Soft/Diffused,None,0,N/A,Experience the power of long-lasting moisture with our latest innovation.,Highly Original/Unexpected,Fear of Missing Out,Long-lasting moisture,General brand awareness,High - likely to provoke discussion/change - Challenges gender norms,Moderate & Engaging,Deliberately Stylized Realism,5,Showcases a desired outcome,Aspirational Lifestyle Scene,Sudden Silence followed by sound,No,Confusion,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v252,make_over_official,Make Over,Beauty and Wellbeing,2024-02-13,Mega,False,84109,2508,instagram,other say,32,Abstract,High contrast,Colored gels,None,0,N/A,Experience the power of eco-friendly production with our latest innovation.,Clichéd/Uninspired,Security,Eco-friendly production,General brand awareness,Moderate - raises awareness - Challenges gender norms,Moderate & Engaging,Fictional/Fantastical,3,Presents an intriguing visual,Intriguing/Abstract Visual,Whispered confession,No,Surprise,Gradual Reveal,Confusing/Ineffective
https://tiktok.com/v253,mama_lemon_official,Mama Lemon,Home Care,2024-05-05,Mikro,False,2473665,101858,instagram,other say,19,Cartoonish,Neon Glow,Low-key,Employee,1,Mixed,Experience the power of premium quality with our latest innovation.,Clichéd/Uninspired,Empowerment,Premium quality,General brand awareness,Low - incidental - Promotes inclusivity,Profound & Evocative,Deliberately Stylized Realism,5,Presents an intriguing visual,Direct Product Close-up,Intriguing Sound Effects,No,Empathy,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v254,scarlett_official,Scarlett,Beauty and Wellbeing,2024-04-22,Nano,False,361053,4177,instagram,brand say,35,Avant-garde,Earthy neutrals,Theatrical spotlights,Mixed,3,Corporate professional,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Security,Time-saving convenience,Learn more,High - likely to provoke discussion/change - Focuses on sustainability,Surface-level/Fleeting,Clearly Staged/Aspirational,4,Presents an intriguing visual,Direct Product Close-up,Dialogue snippet,No,Urgency,Static Shot,Confusing/Ineffective
https://tiktok.com/v255,sunlight_official,Sunlight,Home Care,2024-03-05,Makro,True,941714,36942,instagram,brand say,42,Cinematic,Bright and saturated,Bright/Overhead,Real Customer/User,3,Elderly couple,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Nostalgia,Time-saving convenience,Sign up,Low - incidental - Challenges gender norms,Profound & Evocative,Deliberately Stylized Realism,4,Showcases a desired outcome,Direct Product Close-up,Direct Voiceover Question,Yes - 'Wait...',Humor,Static Shot,Highly Unique & Effective
https://tiktok.com/v256,scarlett_official,Scarlett,Beauty and Wellbeing,2024-02-20,Makro,False,187557,6210,instagram,brand say,37,Retro-futuristic,Pastels,Colored gels,Employee,5+,Middle-aged professional male,Experience the power of time-saving convenience with our latest innovation.,Highly Original/Unexpected,Joy,Time-saving convenience,Download app,Low - incidental - Promotes inclusivity,Profound & Evocative,Deliberately Stylized Realism,4,Introduces a relatable problem,Shocking/Unexpected Event,Dialogue snippet,Yes - 'Limited Offer',Surprise,Static Shot,Somewhat Effective/Predictable
https://tiktok.com/v257,vanish_official,Vanish,Home Care,2024-06-16,Mega,False,197222,7834,instagram,other say,30,Surreal,Bright and saturated,Natural daylight,Animated/CGI Character,5+,Mixed,Experience the power of enhanced connectivity with our latest innovation.,Standard/Expected,Excitement,Enhanced connectivity,Sign up,Low - incidental - Focuses on sustainability,Purely Functional/None,Clearly Staged/Aspirational,4,Introduces a relatable problem,Direct Product Close-up,Whispered confession,No,Confusion,Fast-paced/Rapid Cuts,Effective but Standard
https://tiktok.com/v258,dove_official,Dove,Beauty and Wellbeing,2024-01-18,Mikro,True,1974942,24771,instagram,brand say,56,Surreal,"Cool tones (blues, greens)",Dramatic/High contrast,Mixed,5+,Young adult female,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Humor,Eco-friendly production,None,Moderate - raises awareness - Promotes inclusivity,Surface-level/Fleeting,Clearly Staged/Aspirational,4,Poses a direct question,Direct Product Close-up,Whispered confession,Yes - 'The Secret',Confusion,Static Shot,Effective but Standard
https://tiktok.com/v259,scarlett_official,Scarlett,Beauty and Wellbeing,2024-02-04,Nano,False,1565801,49927,instagram,other say,60,Surreal,High contrast,Expressive shadows,Mixed,2,Middle-aged professional male,Experience the power of enhanced connectivity with our latest innovation.,Clichéd/Uninspired,Empathy,Enhanced connectivity,Purchase now,Moderate - raises awareness - Promotes inclusivity,Surface-level/Fleeting,Perceived as Real,5,Poses a direct question,Direct Product Close-up,Dialogue snippet,Yes - 'The Secret',Empathy,Gradual Reveal,Effective but Standard
https://tiktok.com/v260,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-04-04,Mikro,True,238445,7217,instagram,brand say,60,Minimalist,Muted Vintage,Dramatic/High contrast,Mixed,5+,Middle-aged professional male,Experience the power of long-lasting moisture with our latest innovation.,Fresh Take on Familiar,Empathy,Long-lasting moisture,Visit store,Moderate - raises awareness - Challenges gender norms,Moderate & Engaging,Clearly Staged/Aspirational,4,Showcases a desired outcome,Intriguing/Abstract Visual,Dialogue snippet,Yes - 'The Secret',Surprise,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v261,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-02-04,Mega,True,360123,11830,instagram,other say,57,Minimalist,Muted Vintage,Dramatic/High contrast,Professional Actor,2,Elderly couple,Experience the power of time-saving convenience with our latest innovation.,Highly Original/Unexpected,Empathy,Time-saving convenience,Purchase now,Low - incidental - Challenges gender norms,Surface-level/Fleeting,Clearly Staged/Aspirational,3,Presents an intriguing visual,Shocking/Unexpected Event,Sudden Silence followed by sound,Yes - 'Stop!',Empathy,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v262,wipol_official,Wipol,Home Care,2024-02-11,Mikro,True,577592,7080,instagram,other say,32,Minimalist,Pastels,Natural daylight,Employee,5+,Middle-aged professional male,Experience the power of healthier lifestyle with our latest innovation.,Clichéd/Uninspired,Security,Healthier lifestyle,Download app,None,Surface-level/Fleeting,Perceived as Real,4,Presents an intriguing visual,Aspirational Lifestyle Scene,Upbeat Jingle,Yes - 'Wait...',Confusion,Static Shot,Effective but Standard
https://tiktok.com/v263,pond's_official,Pond's,Beauty and Wellbeing,2024-03-24,Mikro,True,137109,1380,instagram,brand say,44,Futuristic,Muted Vintage,Bright/Overhead,Professional Actor,2,Diverse family unit,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Trust,Eco-friendly production,None,None,Profound & Evocative,Fictional/Fantastical,4,Presents an intriguing visual,Shocking/Unexpected Event,Upbeat Jingle,Yes - 'Wait...',Anticipation,Fast-paced/Rapid Cuts,Effective but Standard
https://tiktok.com/v264,sunlight_official,Sunlight,Home Care,2024-03-09,Mikro,True,514297,15129,instagram,other say,24,Documentary-style,Earthy neutrals,Dramatic/High contrast,Influencer/KOL,1,Diverse family unit,Experience the power of healthier lifestyle with our latest innovation.,Highly Original/Unexpected,Fear of Missing Out,Healthier lifestyle,Learn more,None,Profound & Evocative,Deliberately Stylized Realism,3,Showcases a desired outcome,Shocking/Unexpected Event,Intriguing Sound Effects,No,Calmness,Static Shot,Somewhat Effective/Predictable
https://tiktok.com/v265,make_over_official,Make Over,Beauty and Wellbeing,2024-06-11,Mega,False,1182684,35320,instagram,other say,20,Documentary-style,"Cool tones (blues, greens)",Expressive shadows,Employee,3,Young adult female,Experience the power of instant results with our latest innovation.,Standard/Expected,Joy,Instant results,Download app,High - likely to provoke discussion/change - Promotes inclusivity,Surface-level/Fleeting,Fictional/Fantastical,4,Poses a direct question,Text-heavy Introduction,Dialogue snippet,Yes - 'Stop!',Anticipation,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v266,molto_official,Molto,Home Care,2024-03-30,Makro,True,848584,11639,instagram,other say,31,Cinematic,Pastels,Low-key,Influencer/KOL,2,Young adult female,Experience the power of time-saving convenience with our latest innovation.,Standard/Expected,Excitement,Time-saving convenience,Visit store,None,Moderate & Engaging,Perceived as Real,3,Poses a direct question,Facial Close-up of Talent,Intriguing Sound Effects,No,Surprise,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v267,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-06-09,Nano,True,304778,3274,instagram,brand say,46,Gritty,"Warm tones (reds, oranges)",Expressive shadows,Influencer/KOL,5+,Mixed,Experience the power of long-lasting moisture with our latest innovation.,Highly Original/Unexpected,Nostalgia,Long-lasting moisture,Download app,None,Surface-level/Fleeting,Fictional/Fantastical,4,Poses a direct question,Facial Close-up of Talent,Upbeat Jingle,Yes - 'How to?',Calmness,Slow/Deliberate,Effective but Standard
https://tiktok.com/v268,sunlight_official,Sunlight,Home Care,2024-02-03,Mega,True,205613,3600,instagram,other say,44,Minimalist,High contrast,Dramatic/High contrast,Professional Actor,3,Young adult female,Experience the power of unbeatable price with our latest innovation.,Clichéd/Uninspired,Joy,Unbeatable price,Purchase now,Low - incidental - Focuses on sustainability,Moderate & Engaging,Perceived as Real,5,Showcases a desired outcome,Facial Close-up of Talent,Whispered confession,Yes - 'Wait...',Anticipation,Slow/Deliberate,Somewhat Effective/Predictable
https://tiktok.com/v269,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-04-02,Nano,True,812281,12050,instagram,other say,31,Cinematic,Earthy neutrals,Soft/Diffused,Influencer/KOL,2,Mixed,Experience the power of eco-friendly production with our latest innovation.,Standard/Expected,Excitement,Eco-friendly production,Learn more,Low - incidental - Challenges gender norms,Surface-level/Fleeting,Perceived as Real,4,Displays a startling fact,Intriguing/Abstract Visual,Intriguing Sound Effects,No,Calmness,Gradual Reveal,Highly Unique & Effective
https://tiktok.com/v270,dove_official,Dove,Beauty and Wellbeing,2024-05-26,Mega,True,811111,15568,instagram,other say,52,Cartoonish,"Warm tones (reds, oranges)",Expressive shadows,Mixed,3,Gen Z explorer,Experience the power of healthier lifestyle with our latest innovation.,Fresh Take on Familiar,Empowerment,Healthier lifestyle,General brand awareness,Low - incidental - Focuses on sustainability,Surface-level/Fleeting,Fictional/Fantastical,5,Displays a startling fact,Text-heavy Introduction,Intriguing Sound Effects,No,Surprise,Gradual Reveal,Confusing/Ineffective
https://tiktok.com/v271,wipol_official,Wipol,Home Care,2024-01-19,Mega,True,788355,15772,instagram,brand say,39,Vibrant,Earthy neutrals,Colored gels,Animated/CGI Character,1,Elderly couple,Experience the power of premium quality with our latest innovation.,Fresh Take on Familiar,Excitement,Premium quality,General brand awareness,Low - incidental - Challenges gender norms,Purely Functional/None,Clearly Staged/Aspirational,4,Introduces a relatable problem,Problem Setup Scene,Intriguing Sound Effects,No,Calmness,Fast-paced/Rapid Cuts,Effective but Standard
https://tiktok.com/v272,mama_lemon_official,Mama Lemon,Home Care,2024-05-16,Mega,False,355488,13319,instagram,other say,60,Documentary-style,"Cool tones (blues, greens)",High-key,Brand Founder/CEO,5+,Children,Experience the power of unbeatable price with our latest innovation.,Fresh Take on Familiar,Trust,Unbeatable price,None,Moderate - raises awareness - Promotes inclusivity,Surface-level/Fleeting,Clearly Staged/Aspirational,5,Displays a startling fact,Text-heavy Introduction,Whispered confession,Yes - 'The Secret',Humor,Static Shot,Effective but Standard
https://tiktok.com/v273,attack_official,Attack,Home Care,2024-06-26,Mikro,False,2792107,119994,instagram,brand say,16,Futuristic,Earthy neutrals,High-key,Employee,2,Middle-aged professional male,Experience the power of premium quality with our latest innovation.,Standard/Expected,Humor,Premium quality,Learn more,None,Purely Functional/None,Perceived as Real,4,Showcases a desired outcome,Facial Close-up of Talent,Dialogue snippet,Yes - 'How to?',Calmness,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v274,rinso_official,Rinso,Home Care,2024-01-05,Mikro,True,677464,11738,instagram,other say,41,Surreal,Pastels,Dramatic/High contrast,Narrator Only (unseen),0,N/A,Experience the power of unbeatable price with our latest innovation.,Clichéd/Uninspired,Empowerment,Unbeatable price,Visit store,None,Profound & Evocative,Highly Authentic/Raw,5,Poses a direct question,Shocking/Unexpected Event,Whispered confession,Yes - 'Limited Offer',Humor,Fast-paced/Rapid Cuts,Highly Unique & Effective
https://tiktok.com/v275,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-05-10,Mikro,True,224915,3655,instagram,other say,33,Futuristic,"Warm tones (reds, oranges)",Low-key,Mixed,5+,Diverse family unit,Experience the power of healthier lifestyle with our latest innovation.,Highly Original/Unexpected,Joy,Healthier lifestyle,Share content,Low - incidental - Focuses on sustainability,Purely Functional/None,Clearly Staged/Aspirational,5,Introduces a relatable problem,Facial Close-up of Talent,Upbeat Jingle,No,Empathy,Gradual Reveal,Effective but Standard
https://tiktok.com/v276,vanish_official,Vanish,Home Care,2024-05-04,Makro,False,236052,11791,instagram,brand say,46,Vibrant,High contrast,Dramatic/High contrast,Employee,1,Diverse family unit,Experience the power of time-saving convenience with our latest innovation.,Standard/Expected,Trust,Time-saving convenience,Purchase now,Low - incidental - Promotes inclusivity,Profound & Evocative,Highly Authentic/Raw,5,Displays a startling fact,Problem Setup Scene,Whispered confession,Yes - 'Limited Offer',Surprise,Static Shot,Highly Unique & Effective
https://tiktok.com/v277,pantene_official,Pantene,Beauty and Wellbeing,2024-02-25,Makro,False,348306,4096,instagram,other say,56,Documentary-style,High contrast,Colored gels,Mixed,2,Gen Z explorer,Experience the power of healthier lifestyle with our latest innovation.,Fresh Take on Familiar,Aspiration,Healthier lifestyle,Purchase now,Low - incidental - Promotes inclusivity,Purely Functional/None,Clearly Staged/Aspirational,4,Presents an intriguing visual,Text-heavy Introduction,Direct Voiceover Question,Yes - 'Wait...',Anticipation,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v278,rinso_official,Rinso,Home Care,2024-07-19,Nano,True,1170424,17627,instagram,other say,20,Surreal,Muted Vintage,Natural daylight,Brand Founder/CEO,1,Young adult female,Experience the power of premium quality with our latest innovation.,Clichéd/Uninspired,Excitement,Premium quality,Sign up,Low - incidental - Focuses on sustainability,Profound & Evocative,Clearly Staged/Aspirational,3,Poses a direct question,Problem Setup Scene,Whispered confession,No,Anticipation,Static Shot,Highly Unique & Effective
https://tiktok.com/v279,wardah_official,Wardah,Beauty and Wellbeing,2024-04-10,Mikro,False,310412,10649,instagram,other say,34,Retro-futuristic,Neon Glow,High-key,Professional Actor,5+,Diverse family unit,Experience the power of instant results with our latest innovation.,Standard/Expected,Empowerment,Instant results,Share content,Low - incidental - Focuses on sustainability,Moderate & Engaging,Fictional/Fantastical,3,Poses a direct question,Direct Product Close-up,Abrupt Music Start,Yes - 'Wait...',Urgency,Slow/Deliberate,Confusing/Ineffective
https://tiktok.com/v280,wipol_official,Wipol,Home Care,2024-01-09,Mega,True,265062,10438,instagram,brand say,50,Cinematic,Pastels,Soft/Diffused,Influencer/KOL,1,Young adult female,Experience the power of healthier lifestyle with our latest innovation.,Fresh Take on Familiar,Joy,Healthier lifestyle,Visit store,Low - incidental - Challenges gender norms,Moderate & Engaging,Highly Authentic/Raw,3,Poses a direct question,Aspirational Lifestyle Scene,Dialogue snippet,Yes - 'Wait...',Urgency,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v281,scarlett_official,Scarlett,Beauty and Wellbeing,2024-02-27,Nano,False,297485,6800,instagram,brand say,27,Cartoonish,"Cool tones (blues, greens)",Colored gels,Animated/CGI Character,1,Gen Z explorer,Experience the power of unbeatable price with our latest innovation.,Clichéd/Uninspired,Joy,Unbeatable price,Follow social media,Moderate - raises awareness - Promotes inclusivity,Purely Functional/None,Fictional/Fantastical,3,Poses a direct question,Intriguing/Abstract Visual,Sudden Silence followed by sound,No,Humor,Gradual Reveal,Highly Unique & Effective
https://tiktok.com/v282,vaseline_official,Vaseline,Beauty and Wellbeing,2024-06-30,Mikro,True,1402218,38495,instagram,brand say,34,Retro-futuristic,High contrast,Soft/Diffused,Influencer/KOL,2,Children,Experience the power of premium quality with our latest innovation.,Standard/Expected,Aspiration,Premium quality,Download app,Low - incidental - Promotes inclusivity,Profound & Evocative,Perceived as Real,4,Poses a direct question,Intriguing/Abstract Visual,Abrupt Music Start,No,Humor,Gradual Reveal,Effective but Standard
https://tiktok.com/v283,biore_official,Biore,Beauty and Wellbeing,2024-04-22,Makro,False,109765,3321,instagram,brand say,27,Futuristic,Neon Glow,High-key,Animated/CGI Character,1,Diverse family unit,Experience the power of instant results with our latest innovation.,Fresh Take on Familiar,Nostalgia,Instant results,Share content,High - likely to provoke discussion/change - Promotes inclusivity,Surface-level/Fleeting,Perceived as Real,3,Displays a startling fact,Text-heavy Introduction,Dialogue snippet,Yes - 'Limited Offer',Surprise,Static Shot,Somewhat Effective/Predictable
https://tiktok.com/v284,molto_official,Molto,Home Care,2024-05-10,Nano,True,542056,7090,instagram,other say,52,Abstract,Pastels,Colored gels,Animal,1,N/A,Experience the power of long-lasting moisture with our latest innovation.,Highly Original/Unexpected,Joy,Long-lasting moisture,Purchase now,None,Purely Functional/None,Deliberately Stylized Realism,5,Displays a startling fact,Text-heavy Introduction,Intriguing Sound Effects,No,Confusion,Slow/Deliberate,Confusing/Ineffective
https://tiktok.com/v285,attack_official,Attack,Home Care,2024-04-11,Mega,False,490199,11515,instagram,brand say,60,Avant-garde,High contrast,Dramatic/High contrast,Real Customer/User,3,Corporate professional,Experience the power of instant results with our latest innovation.,Highly Original/Unexpected,Humor,Instant results,Sign up,None,Profound & Evocative,Clearly Staged/Aspirational,3,Presents an intriguing visual,Shocking/Unexpected Event,Sudden Silence followed by sound,No,Anticipation,Slow/Deliberate,Confusing/Ineffective
https://tiktok.com/v286,scarlett_official,Scarlett,Beauty and Wellbeing,2024-01-29,Nano,False,1258012,12721,instagram,brand say,46,Vibrant,High contrast,Colored gels,Influencer/KOL,2,Gen Z explorer,Experience the power of instant results with our latest innovation.,Fresh Take on Familiar,Excitement,Instant results,None,Moderate - raises awareness - Promotes inclusivity,Surface-level/Fleeting,Perceived as Real,3,Presents an intriguing visual,Direct Product Close-up,Sudden Silence followed by sound,No,Calmness,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v287,vanish_official,Vanish,Home Care,2024-01-14,Mega,False,262140,7433,instagram,brand say,16,Cartoonish,Bright and saturated,Theatrical spotlights,Narrator Only (unseen),0,N/A,Experience the power of instant results with our latest innovation.,Clichéd/Uninspired,Empowerment,Instant results,Follow social media,High - likely to provoke discussion/change - Focuses on sustainability,Profound & Evocative,Fictional/Fantastical,4,Displays a startling fact,Facial Close-up of Talent,Sudden Silence followed by sound,No,Calmness,Slow/Deliberate,Effective but Standard
https://tiktok.com/v288,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-04-28,Mikro,True,354512,6933,instagram,other say,26,Futuristic,Pastels,Theatrical spotlights,Mixed,2,Middle-aged professional male,Experience the power of instant results with our latest innovation.,Clichéd/Uninspired,Aspiration,Instant results,Share content,Moderate - raises awareness - Promotes inclusivity,Profound & Evocative,Fictional/Fantastical,5,Showcases a desired outcome,Direct Product Close-up,Intriguing Sound Effects,Yes - 'Limited Offer',Humor,Fast-paced/Rapid Cuts,Highly Unique & Effective
